Customer ID,TotalPrice,TotalOrders,TotalItems,DaysSinceLastPurchase,Cluster
12346,372.86,11,70,164,1
12347,1323.32,2,828,2,0
12348,222.16,1,373,73,0
12349,2671.14,3,993,42,0
12351,300.93,1,261,10,0
12352,343.8,2,188,10,0
12353,317.76,1,192,43,0
12355,488.21,1,303,202,1
12356,3562.25,3,1826,15,0
12357,12079.99,2,3879,23,0
12358,2719.01,3,831,10,0
12359,2563.36,6,1130,60,0
12360,1590.83,5,1294,14,0
12361,321.35,3,144,97,0
12362,130.0,1,1,373,1
12366,500.24,1,296,268,1
12368,917.7,1,330,263,1
12369,1791.15,3,1241,48,0
12370,774.62,3,252,259,1
12371,2179.42,3,845,44,0
12373,763.0500000000001,2,319,259,1
12374,2246.29,3,1020,56,0
12376,503.15,2,240,24,0
12377,1798.2,2,1161,16,0
12378,1407.7,1,787,197,1
12379,767.98,2,408,57,0
12380,6951.49,7,2228,100,0
12385,1938.4,1,612,14,0
12386,258.9,1,214,1,0
12387,143.94,1,134,50,0
12388,1120.45,2,539,80,0
12389,1433.33,3,614,37,0
12391,2312.53,5,920,99,0
12392,234.75000000000003,1,73,226,1
12393,816.85,2,495,17,0
12395,2048.64,4,1615,6,0
12396,931.43,1,591,309,1
12399,853.65,3,1020,20,0
12400,205.25,1,91,49,0
12402,1031.3,5,490,27,0
12403,591.6600000000001,1,164,156,1
12404,63.24,1,1,317,1
12406,2975.06,3,1598,34,0
12408,1452.22,3,820,20,0
12409,12346.62,4,7592,55,0
12410,320.38,1,130,137,1
12411,346.9,1,138,44,0
12412,1370.05,3,1168,37,0
12413,241.35,1,33,37,0
12414,390.0,3,195,98,0
12415,19543.84,7,14073,10,0
12416,202.56,1,132,291,1
12417,3167.81,11,1348,45,0
12418,1352.62,3,681,48,0
12419,503.01,2,231,20,0
12421,291.56,2,168,50,0
12422,4428.24,14,2226,29,0
12423,763.08,2,454,22,0
12424,1579.07,2,1285,57,0
12425,964.21,1,651,83,0
12426,762.48,1,326,297,1
12427,303.5,1,79,6,0
12429,3735.51,5,1787,0,0
12431,4370.52,13,1811,8,0
12433,7205.39,5,6045,1,0
12434,297.29,1,138,16,0
12435,6096.04,4,2903,31,0
12437,7731.99,21,5078,30,0
12439,1158.18,2,484,317,1
12440,859.2,2,331,97,0
12441,173.55,1,121,1,0
12443,485.31,1,182,367,1
12445,301.58000000000004,1,144,55,0
12449,768.6,2,729,45,0
12450,490.32,3,314,34,0
12451,3634.36,3,2784,98,0
12454,13151.44,4,6697,30,0
12455,3413.09,4,1213,80,0
12457,632.68,1,251,70,0
12458,830.09,2,480,62,0
12459,454.36,1,258,240,1
12460,326.65,1,170,91,0
12466,56.73,1,1,317,1
12467,132.8,1,129,58,0
12468,2941.2,3,1835,161,1
12469,3070.54,2,2552,157,1
12470,211.95,1,95,324,1
12471,20139.74,49,8679,9,0
12472,11308.48,13,7202,4,0
12474,5048.66,13,3107,13,0
12475,426.26,1,236,44,0
12476,7298.99,12,3237,31,0
12477,7056.63,3,2466,34,0
12480,2183.2200000000003,3,1245,34,0
12481,6765.07,6,3949,0,0
12482,23691.4,29,27042,211,0
12483,2635.6,11,1062,13,0
12484,1828.43,6,1080,118,0
12485,708.1,1,414,164,1
12486,1037.28,1,523,66,0
12487,285.29999999999995,1,174,365,1
12490,4405.71,11,2842,13,0
12492,452.0,1,252,38,0
12494,626.77,3,281,0,0
12495,357.4,1,130,275,1
12496,54.09,2,33,255,1
12497,5205.400000000001,2,4449,35,0
12499,393.72,1,302,195,1
12500,1697.39,8,699,70,0
12503,1126.0,1,561,219,1
12504,297.0,2,368,52,0
12505,955.2,1,324,43,0
12507,539.25,1,362,219,1
12510,4195.45,7,1696,94,0
12511,3084.02,1,1753,63,0
12514,580.08,1,400,276,1
12516,1336.56,2,1077,65,0
12519,385.7,1,212,111,0
12523,2582.38,12,1410,9,0
12524,6640.39,9,3479,23,0
12525,973.73,3,509,133,0
12527,386.8,2,292,129,0
12529,316.48,1,192,163,1
12530,2096.98,5,1800,50,0
12531,1807.98,1,1074,321,1
12533,1367.89,2,704,262,1
12537,732.94,1,449,43,0
12538,276.5,1,145,13,0
12539,5646.400000000001,3,2468,85,0
12540,8854.25,16,4334,13,0
12542,481.88,2,522,119,0
12543,980.25,1,688,83,0
12547,175.78,1,175,135,1
12549,1575.68,6,1366,210,1
12553,916.47,2,360,20,0
12554,468.5,1,240,83,0
12555,129.23,1,1,317,1
12557,6725.18,4,2398,6,0
12562,1185.18,2,548,20,0
12563,249.24,1,113,43,0
12567,4308.58,7,1781,2,0
12568,70.0,1,48,279,1
12570,77.52,1,1,317,1
12573,556.87,4,395,16,0
12575,622.8199999999999,2,315,92,0
12576,826.89,3,527,27,0
12577,995.95,5,725,16,0
12578,1847.94,2,1184,20,0
12580,637.2,1,331,211,1
12582,1469.04,2,685,57,0
12583,7166.06,13,3924,8,0
12586,1865.73,3,608,9,0
12588,743.88,3,385,34,0
12589,4048.98,6,1458,56,0
12591,899.3,2,449,25,0
12592,2145.06,3,1585,154,1
12594,1751.89,5,991,13,0
12595,299.02,1,271,139,1
12598,1511.01,3,942,98,0
12599,1264.14,6,1233,16,0
12600,2444.88,12,640,6,0
12601,104.2,1,45,39,0
12605,1232.95,4,929,11,0
12606,21.0,1,1,317,1
12608,415.79,1,323,39,0
12609,2309.01,6,905,9,0
12613,3490.69,5,2519,23,0
12615,3449.79,4,1941,48,0
12616,417.8,1,214,23,0
12619,140.14,1,140,195,1
12621,11086.14,16,6493,0,0
12623,3442.74,6,1781,51,0
12625,2481.06,2,1697,144,1
12629,1558.22,2,722,20,0
12631,2841.07,5,1371,91,0
12632,804.88,2,694,155,1
12633,3514.18,3,2076,17,0
12634,490.0,2,337,170,1
12635,1241.23,2,777,27,0
12636,141.0,1,1,373,1
12637,2318.41,4,1282,13,0
12638,249.8,1,86,274,1
12639,826.27,2,430,69,0
12643,5005.78,6,2977,20,0
12644,1440.58,3,707,65,0
12645,1764.12,4,1041,44,0
12647,14201.53,27,5455,2,0
12648,793.95,3,358,72,0
12649,1671.14,5,1373,17,0
12651,263.75,3,187,13,0
12652,97.05,1,31,69,0
12653,1950.98,1,762,161,1
12655,261.35,1,80,58,0
12656,2356.66,3,1137,60,0
12661,162.0,1,216,71,0
12662,3138.24,10,1523,8,0
12663,239.4,2,181,259,1
12664,1188.16,2,292,149,1
12665,250.6,2,128,52,0
12666,1248.42,1,370,29,0
12668,7637.53,6,3442,13,0
12670,764.24,2,230,20,0
12671,2622.481,1,1460,241,1
12672,211.15,1,60,230,1
12673,619.5,1,349,36,0
12675,958.5,2,337,188,1
12676,1511.7,5,1197,43,0
12677,395.1,2,176,190,1
12678,16652.72,9,11449,10,0
12681,17080.74,24,10060,2,0
12682,11745.69,23,5443,0,0
12683,4220.21,8,2696,0,0
12686,89.14,1,107,6,0
12687,2138.91,2,1403,115,0
12691,134.6,1,51,55,0
12692,110.95,1,36,272,1
12693,847.11,3,281,31,0
12694,973.68,1,846,56,0
12695,825.02,3,234,163,1
12696,851.91,2,564,69,0
12698,339.75,1,111,225,1
12699,638.11,1,373,52,0
12701,1648.7,4,1049,164,1
12703,722.98,3,431,268,1
12705,4893.81,5,3191,18,0
12708,2601.19,9,1214,3,0
12709,21356.82,20,10047,1,0
12711,1339.05,2,770,246,1
12712,2797.53,10,1287,0,0
12714,9384.85,7,5705,23,0
