Customer ID,TotalPrice,TotalOrders,TotalItems,DaysSinceLastPurchase
12346,372.86,11,70,164
12347,1323.32,2,828,2
12348,222.16,1,373,73
12349,2671.14,3,993,42
12351,300.93,1,261,10
12352,343.8,2,188,10
12353,317.76,1,192,43
12355,488.21,1,303,202
12356,3562.25,3,1826,15
12357,12079.99,2,3879,23
12358,2719.01,3,831,10
12359,2563.36,6,1130,60
12360,1590.83,5,1294,14
12361,321.35,3,144,97
12362,130.0,1,1,373
12366,500.24,1,296,268
12368,917.7,1,330,263
12369,1791.15,3,1241,48
12370,774.62,3,252,259
12371,2179.42,3,845,44
12373,763.0500000000001,2,319,259
12374,2246.29,3,1020,56
12376,503.15,2,240,24
12377,1798.2,2,1161,16
12378,1407.7,1,787,197
12379,767.98,2,408,57
12380,6951.49,7,2228,100
12385,1938.4,1,612,14
12386,258.9,1,214,1
12387,143.94,1,134,50
12388,1120.45,2,539,80
12389,1433.33,3,614,37
12391,2312.53,5,920,99
12392,234.75000000000003,1,73,226
12393,816.85,2,495,17
12395,2048.64,4,1615,6
12396,931.43,1,591,309
12399,853.65,3,1020,20
12400,205.25,1,91,49
12402,1031.3,5,490,27
12403,591.6600000000001,1,164,156
12404,63.24,1,1,317
12406,2975.06,3,1598,34
12408,1452.22,3,820,20
12409,12346.62,4,7592,55
12410,320.38,1,130,137
12411,346.9,1,138,44
12412,1370.05,3,1168,37
12413,241.35,1,33,37
12414,390.0,3,195,98
12415,19543.84,7,14073,10
12416,202.56,1,132,291
12417,3167.81,11,1348,45
12418,1352.62,3,681,48
12419,503.01,2,231,20
12421,291.56,2,168,50
12422,4428.24,14,2226,29
12423,763.08,2,454,22
12424,1579.07,2,1285,57
12425,964.21,1,651,83
12426,762.48,1,326,297
12427,303.5,1,79,6
12429,3735.51,5,1787,0
12431,4370.52,13,1811,8
12433,7205.39,5,6045,1
12434,297.29,1,138,16
12435,6096.04,4,2903,31
12437,7731.99,21,5078,30
12439,1158.18,2,484,317
12440,859.2,2,331,97
12441,173.55,1,121,1
12443,485.31,1,182,367
12445,301.58000000000004,1,144,55
12449,768.6,2,729,45
12450,490.32,3,314,34
12451,3634.36,3,2784,98
12454,13151.44,4,6697,30
12455,3413.09,4,1213,80
12457,632.68,1,251,70
12458,830.09,2,480,62
12459,454.36,1,258,240
12460,326.65,1,170,91
12466,56.73,1,1,317
12467,132.8,1,129,58
12468,2941.2,3,1835,161
12469,3070.54,2,2552,157
12470,211.95,1,95,324
12471,20139.74,49,8679,9
12472,11308.48,13,7202,4
12474,5048.66,13,3107,13
12475,426.26,1,236,44
12476,7298.99,12,3237,31
12477,7056.63,3,2466,34
12480,2183.2200000000003,3,1245,34
12481,6765.07,6,3949,0
12482,23691.4,29,27042,211
12483,2635.6,11,1062,13
12484,1828.43,6,1080,118
12485,708.1,1,414,164
12486,1037.28,1,523,66
12487,285.29999999999995,1,174,365
12490,4405.71,11,2842,13
12492,452.0,1,252,38
12494,626.77,3,281,0
12495,357.4,1,130,275
12496,54.09,2,33,255
12497,5205.400000000001,2,4449,35
12499,393.72,1,302,195
12500,1697.39,8,699,70
12503,1126.0,1,561,219
12504,297.0,2,368,52
12505,955.2,1,324,43
12507,539.25,1,362,219
12510,4195.45,7,1696,94
